edge_id,width,density,average_speed
1157273658#0,3.5,0.0,0.0
1157273658#1,3.5,0.0,0.0
1157273658#2,3.5,0.0,0.0
1157273658#3,3.5,0.0,0.0
1157273658#4,3.5,0.0,0.0
1157273658#5,3.5,0.0,0.0
1161997241,3.5,0.0,0.0
1192938789,3.5,0.0,0.0
1192938790#0,3.5,0.0,0.0
1192938790#1,3.5,0.0,0.0
1192938791#0,3.5,0.0,0.0
1192938791#1,3.5,0.0,0.0
1192938792,3.5,0.0,0.0
1192938793,3.5,0.0,0.0
1192938794#0,3.5,0.0,0.0
1192938794#1,3.5,0.0,0.0
1192938795,3.5,0.0,0.0
1192938796#0,3.5,0.0,0.0
1192938796#1,3.5,0.0,0.0
1192938797#0,3.5,0.0,0.0
1192938797#1,3.5,0.0,0.0
1192938797#2,3.5,0.0,0.0
1194042864#0,3.5,0.0,0.0
1194042864#1,3.5,0.0,0.0
1204438446,3.5,0.0,0.0
1204438447,3.5,0.0,0.0
1204438546#0,3.5,0.0,0.0
1204438546#1,3.5,0.0,0.0
1204438546#2,3.5,0.0,0.0
1204438547#0,3.5,0.0,0.0
1204438547#1,3.5,0.0,0.0
1204438547#2,3.5,0.0,0.0
1210614616#0,3.5,0.0,0.0
1210614616#1,3.5,0.0,0.0
1210614616#2,3.5,0.0,0.0
1210614617,3.5,0.0,0.0
1210614618,3.5,0.0,0.0
1212607214#0,3.5,0.0,0.0
1212607214#1,3.5,0.0,0.0
1212607214#2,3.5,0.0,0.0
1212607214#3,3.5,0.0,0.0
1212607214#4,3.5,0.0,0.0
1212607214#5,3.5,0.0,0.0
1212607214#6,3.5,0.0,0.0
1212607214#7,3.5,0.0,0.0
1212607215#0,3.5,0.0,0.0
1212607215#1,3.5,0.0,0.0
1245858890,3.5,0.0,0.0
1245858891,3.5,0.0,0.0
1245858892,3.5,0.0,0.0
1245858893,3.5,0.0,0.0
1245858894,3.5,0.0,0.0
1246997888,3.5,0.0,0.0
1254697470,3.5,0.0,0.0
1254697471,3.5,0.0,0.0
1254697472,3.5,0.0,0.0
1254697473#0,3.5,0.0,0.0
1254697473#1,3.5,0.0,0.0
1254697473#2,3.5,0.0,0.0
1254697474#0,3.5,0.0,0.0
1254697474#1,3.5,0.0,0.0
1254697474#2,3.5,0.0,0.0
1255249224,3.5,0.0,0.0
1255250077#0,3.5,0.0,0.0
1255250077#1,3.5,0.0,0.0
1255250077#2,3.5,0.0,0.0
1256907218#0,3.5,0.0,0.0
1256907218#1,3.5,0.0,0.0
1256907218#2,3.5,0.0,0.0
1256907218#3,3.5,0.0,0.0
1256907218#4,3.5,0.0,0.0
1256907218#5,3.5,0.0,0.0
1256907219#0,3.5,0.0,0.0
1256907219#1,3.5,0.0,0.0
1256907219#2,3.5,0.0,0.0
1256907220#0,3.5,0.0,0.0
1256907220#1,3.5,0.0,0.0
1257746305,3.5,0.0,0.0
1257751783#0,3.5,0.0,0.0
1257751783#1,3.5,0.0,0.0
1257758359,3.5,0.0,0.0
1267345325,3.5,0.0,0.0
1267352664,3.5,0.0,0.0
1286257627#0,3.5,0.0,0.0
1286257627#1,3.5,0.0,0.0
1286257627#2,3.5,0.0,0.0
1286257627#3,3.5,0.0,0.0
1286257627#4,3.5,0.0,0.0
1286257627#5,3.5,0.0,0.0
1286257627#6,3.5,0.0,0.0
1286257628#0,3.5,0.0,0.0
1286257628#1,3.5,0.0,0.0
1286257629,3.5,0.0,0.0
1286257630#0,3.5,0.0,0.0
1286257630#1,3.5,0.0,0.0
1286257631#0,3.5,0.0,0.0
1286257631#1,3.5,0.0,0.0
1286257632#0,3.5,0.0,0.0
1286257632#1,3.5,0.0,0.0
1286257633,3.5,0.0,0.0
1288871249,3.5,0.0,0.0
1288875211,3.5,0.0,0.0
1288875212,3.5,0.0,0.0
1288875213,3.5,0.0,0.0
1288875214#0,3.5,0.0,0.0
1288875214#1,3.5,0.0,0.0
1288875214#2,3.5,0.0,0.0
1288875215,3.5,0.0,0.0
1288875216,3.5,0.0,0.0
1288875217,3.5,0.0,0.0
1288875218,3.5,0.0,0.0
1288875219,3.5,0.0,0.0
1288875220,3.5,0.0,0.0
1288875221,3.5,0.0,0.0
1288875222,3.5,0.0,0.0
1288877702#0,3.5,0.0,0.0
1288877702#1,3.5,0.0,0.0
1288877702#2,3.5,0.0,0.0
1290627935#0,3.5,0.0,0.0
1290627935#1,3.5,0.0,0.0
1290627935#2,3.5,0.0,0.0
1290627935#3,3.5,0.0,0.0
